Date,Close
2021-06-17,1131.95
2021-06-18,1133.54
2021-06-21,1134.25
2021-06-22,1130.34
2021-06-23,1132.51
2021-06-24,1132.61
2021-06-25,1130.8
2021-06-28,1125.34
2021-06-29,1129.04
2021-06-30,1130.51
2021-07-01,1129.6
2021-07-02,1132.41
2021-07-05,1129.77
2021-07-06,1129.44
2021-07-07,1135.48
2021-07-08,1140.52
2021-07-09,1146.28
2021-07-12,1144.31
2021-07-13,1141.1
2021-07-14,1148.7
2021-07-15,1143.41
2021-07-16,1140.12
2021-07-19,1141.5
2021-07-20,1150.07
2021-07-21,1147.48
2021-07-22,1148.69
2021-07-23,1149.91
2021-07-26,1151.12
2021-07-27,1151.76
2021-07-28,1153.56
2021-07-29,1149.41
2021-07-30,1142.12
2021-08-02,1150.93
2021-08-03,1149.56
2021-08-04,1148.58
2021-08-05,1144.06
2021-08-06,1143.12
2021-08-09,1144.92
2021-08-10,1145.89
2021-08-11,1152.48
2021-08-12,1152.85
2021-08-13,1162.06
2021-08-16,1161.38
2021-08-17,1164.5
2021-08-18,1176.45
2021-08-19,1169.68
2021-08-20,1175.39
2021-08-23,1174.24
2021-08-24,1167.61
2021-08-25,1163.47
2021-08-26,1163.33
2021-08-27,1170.0
2021-08-30,1161.33
2021-08-31,1165.51
2021-09-01,1158.41
2021-09-02,1155.28
2021-09-03,1157.13
2021-09-06,1154.75
2021-09-07,1155.54
2021-09-08,1161.0
2021-09-09,1166.49
2021-09-10,1169.13
2021-09-13,1169.38
2021-09-14,1171.11
2021-09-15,1170.8
2021-09-16,1165.22
2021-09-17,1174.42
2021-09-20,1181.11
2021-09-21,1186.32
2021-09-22,1182.92
2021-09-23,1181.03
2021-09-24,1174.7
2021-09-27,1179.2
2021-09-28,1176.96
2021-09-29,1186.89
2021-09-30,1187.43
2021-10-01,1183.72
2021-10-04,1180.0
2021-10-05,1183.78
2021-10-06,1187.17
2021-10-07,1191.38
2021-10-08,1191.15
2021-10-11,1195.58
2021-10-12,1195.8
2021-10-13,1196.89
2021-10-14,1186.71
2021-10-15,1182.13
2021-10-18,1181.79
2021-10-19,1185.68
2021-10-20,1175.65
2021-10-21,1174.59
2021-10-22,1176.55
2021-10-25,1176.54
2021-10-26,1167.06
2021-10-27,1167.33
2021-10-28,1172.17
2021-10-29,1167.37
2021-11-01,1174.38
2021-11-02,1176.57
2021-11-03,1178.04
2021-11-04,1179.34
2021-11-05,1185.83
2021-11-08,1180.5
2021-11-09,1199.86
2021-11-10,1177.5
2021-11-11,1184.14
2021-11-12,1183.11
2021-11-15,1179.11
2021-11-16,1183.51
2021-11-17,1184.05
2021-11-18,1181.23
2021-11-19,1182.9
2021-11-22,1191.63
2021-11-23,1189.5
2021-11-24,1189.95
2021-11-25,1187.88
2021-11-26,1190.22
2021-11-29,1194.61
2021-11-30,1190.74
2021-12-01,1182.86
2021-12-02,1177.11
2021-12-03,1176.77
2021-12-06,1183.14
2021-12-07,1180.56
2021-12-08,1176.84
2021-12-09,1172.56
2021-12-10,1177.33
2021-12-13,1178.97
2021-12-14,1185.1
2021-12-15,1184.23
2021-12-16,1184.4
2021-12-17,1186.15
2021-12-20,1186.39
2021-12-21,1190.12
2021-12-22,1191.27
2021-12-23,1187.77
2021-12-24,1185.5
2021-12-27,1185.92
2021-12-28,1185.65
2021-12-29,1187.85
2021-12-30,1183.67
2021-12-31,1189.89
2022-01-03,1187.78
2022-01-04,1194.68
2022-01-05,1196.5
2022-01-06,1199.25
2022-01-07,1205.78
2022-01-10,1196.88
2022-01-11,1198.09
2022-01-12,1189.43
2022-01-13,1185.88
2022-01-14,1186.61
2022-01-17,1188.96
2022-01-18,1190.06
2022-01-19,1192.98
2022-01-20,1188.16
2022-01-21,1192.43
2022-01-24,1191.5
2022-01-25,1195.66
2022-01-26,1196.1
2022-01-27,1200.63
2022-01-28,1203.46
2022-01-31,1207.71
2022-02-01,1205.12
2022-02-02,1202.5
2022-02-03,1199.96
2022-02-04,1200.33
2022-02-07,1197.09
2022-02-08,1196.85
2022-02-09,1196.36
2022-02-10,1194.03
2022-02-11,1199.35
2022-02-14,1199.24
2022-02-15,1197.36
2022-02-16,1196.83
2022-02-17,1196.75
2022-02-18,1198.66
2022-02-21,1195.07
2022-02-22,1194.68
2022-02-23,1192.68
2022-02-24,1192.4
2022-02-25,1206.0
2022-02-28,1197.59
2022-03-01,1200.93
2022-03-02,1205.37
2022-03-03,1203.15
2022-03-04,1205.99
2022-03-07,1216.71
2022-03-08,1232.3
2022-03-09,1233.11
2022-03-10,1223.23
2022-03-11,1228.6
2022-03-14,1236.89
2022-03-15,1242.05
2022-03-16,1241.68
2022-03-17,1223.0
2022-03-18,1210.33
